Frame,Visibility,X,Y,Hit,Reason
0,1,902,305,0,
1,1,918,277,0,
2,1,917,263,0,
3,1,920,259,0,
4,1,978,372,0,
5,1,992,392,0,
6,1,976,427,0,
7,1,977,423,0,
8,1,945,426,0,
9,1,950,433,0,
10,1,951,436,0,
11,1,951,436,0,
12,1,955,438,0,
13,1,962,446,0,
14,1,960,450,0,
15,1,985,457,0,
16,1,902,305,0,
17,1,918,277,0,
18,1,917,263,0,
19,1,920,259,0,
20,1,909,253,0,
21,1,918,258,0,
22,1,917,259,0,
23,1,915,263,0,
24,1,920,257,0,
25,1,925,258,0,
26,1,909,269,0,
27,1,903,275,0,
28,1,906,290,0,
29,1,905,302,0,
30,1,905,313,0,
31,1,927,315,0,
32,1,902,305,0,
33,1,918,277,0,
34,1,917,263,0,
35,1,920,259,0,
36,1,909,253,0,
37,1,918,258,0,
38,1,917,259,0,
39,1,915,263,0,
40,1,920,257,0,
41,1,925,258,0,
42,1,909,269,0,
43,1,903,275,0,
44,1,906,290,0,
45,1,905,302,0,
46,1,905,313,0,
47,1,927,315,0,
48,1,902,305,0,
49,1,918,277,0,
50,1,917,263,0,
51,1,920,259,0,
52,1,909,253,0,
53,1,918,258,0,
54,1,917,259,0,
55,1,915,263,0,
56,1,920,257,0,
57,1,925,258,0,
58,1,909,269,0,
59,1,903,275,0,
60,1,906,290,0,
61,1,905,302,0,
62,1,905,313,0,
63,1,927,315,0,
64,1,902,305,0,
65,1,918,277,0,
66,1,917,263,0,
67,1,920,259,0,
68,1,909,253,0,
69,1,918,258,0,
70,1,917,259,0,
71,1,915,263,0,
72,1,920,257,0,
73,1,925,258,0,
74,1,909,269,0,
75,1,903,275,0,
76,1,906,290,0,
77,1,905,302,0,
78,1,905,313,0,
79,1,927,315,0,
80,1,902,305,0,
81,1,918,277,0,
82,1,917,263,0,
83,1,920,259,0,
84,1,909,253,0,
85,1,918,258,0,
86,1,917,259,0,
87,1,915,263,0,
88,1,920,257,0,
89,1,925,258,0,
90,1,909,269,0,
91,1,903,275,0,
92,1,906,290,0,
93,1,905,302,0,
94,1,905,313,0,
95,1,927,315,0,
96,1,902,305,0,
97,1,918,277,0,
98,1,917,263,0,
99,1,920,259,0,
100,1,909,253,0,
101,1,918,258,0,
102,1,917,259,0,
103,1,915,263,0,
104,1,920,257,0,
105,1,925,258,0,
106,1,909,269,0,
107,1,903,275,0,
108,1,906,290,0,
109,1,905,302,0,
110,1,905,313,0,
111,1,927,315,0,
112,1,936,469,0,
113,1,925,474,0,
114,1,936,484,0,
